q_no,question_preview,answer,current_explanation,needs_work,image_refs,code_language
Q001,다음은 관계 데이터 모델에 대한 설명이다. 괄호안에 들어가는 용어를 작성하시오. ( )은 ...,관계해석,(문제19-1),없음,,
Q002,다음은 대칭 키 알고리즘에 대한 설명이다. 해당 설명에 맞는 용어를 보기에 골라 작성하시오...,Hypertext,(문제2는 소문제 1-2로 분리됨),부족,,
Q001,Xuejia Lai와 James Messey 가 만든 알고리즘으로 PES(Proposed ...,IDEA,(문제2-1),없음,,
Q002,미국의 NSA에서 개발한 Clipper 칩에 내장되는 블록 알고리즘이다. 전화기와 같은 음...,SKIPJACK,(문제2-2),없음,,
Q003,H회사의 전체 제품 단가 보다 큰 제품 출력을 하고자 한다. 괄호안에 들어갈 알맞는 용어를...,ALL,(문제19-3),없음,images/2022_round2/3.png,
Q004,다음 SQL 결과에 알맞는 답을 작성하시오. SELECT count(col2) FROM T...,4,(문제14-4),없음,images/2022_round2/4.png,
Q005,다음은 네트워크에 관련한 내용이다. 괄호안에 들어갈 알맞는 답을 작성하시오. ( )은/는 ...,VPN,,없음,,
Q006,다음은 SOLID 원칙에 관한 내용이다. 괄호안에 알맞는 단어를 보기에서 고르시오. (실제...,ISP,,없음,,
Q007,다음 자바 코드에 알맞는 출력값을 작성하시오.,-8,,없음,images/2022_round2/7.png,
Q008,다음 소스코드에 대한 출력값을 작성하시오.,2,,없음,images/2022_round2/8.png,
Q009,IP 주소가 139.127.19.132이고 서브넷마스크 255.255.255.192일 때 ...,1) 128， 2) 62,,없음,,
Q010,다음 설명에 대한 괄호안에 알맞는 단어를 작성하시오.,1) 베타， 2) 알파,(문제10은 소문제 1-2로 분리됨),부족,,
Q001,( ) 테스트는 하드웨어나 소프트웨어의 개발 단계에서 상용화하기 전에 실시하는 제품 검사 ...,베타,(문제10-1),없음,,
Q002,( ) 테스트는 새로운 제품 개발 과정에서 이루어지는 첫 번째 테스트. 즉， 시제품이 운영...,알파,(문제10-2),없음,,
Q011,다음 설명에 알맞는 테스트 용어를 보기에서 골라 작성하시오.  (실제 기출문제에서는 답의 ...,Regression,,없음,,
Q012,다음 테이블에서 πTTL(employee)에 대한 연산 결과 값을 작성하시오. [emplo...,TTL， 부장， 대리,(해설: 과장 차장도 포함),부족,images/2022_round2/12.png,
Q013,다음은 파이썬 코드이다. 알맞는 출력값을 작성하시오.,REMEMBER AND STR,,없음,images/2022_round2/13.png,
Q014,다음 설명에 대해 보기에 주어진 답을 골라 작성하시오.  (실제 기출문제에서는 답의 보기가...,1. IGP / 2. EGP / 3. OSPF / 4. BGP,(문제14는 소문제 1-4로 분리됨),부족,,
Q001,라우터로 상호 접속이 되어있는 여러 개의 네트워크 집합으로 도메인 혹은 자율시스템(Auto...,IGP,(문제14-1),없음,,
Q002,시스템 사이에 경로 설정 정보 등을 교환하기 위해 사용하는 프로토콜로써， 다른 도메인 사이...,EGP,(문제14-2),없음,,
Q003,IP 라우팅 프로토콜의 한 종류로써 RIP(routing information protoc...,OSPF,(문제14-3),없음,images/2022_round2/3.png,
Q004,서로 다른 자율 시스템(AS)의 라우터 간에 라우팅 정보를 교환하는 데 사용되는 외부 게이...,BGP,(문제14-4),없음,images/2022_round2/4.png,
Q015,다음 C언어에서 출력에 대한 알맞은 답을 작성하시오.,10,,없음,images/2022_round2/15.png,c
Q016,다음 C언어 코드에서 알맞는 출력값을 작성하시오.,22,,없음,images/2022_round2/16.png,
Q017,다음 자바코드에서 알맞는 출력값을 작성하시오.,61,,없음,images/2022_round2/17.png,
Q018,다음은 함수 종속성에 대한 설명이다. 해당 문제에 대한 알맞는 답을 보기에서 골라 작성하시...,1. Full， 2. Partial， 3. Transitive,(문제18은 소문제 1-3으로 분리됨),부족,images/2022_round2/18.png,
Q001,성적은 {학생，학과}에 대해서 ( ) Functional Dependency이다.,Full,(문제18-1),없음,,
Q002,성적은 학과만 알아도 식별이 가능하므로， 이 경우에는 성적 속성은 기본키에 ( ) Func...,Partial,(문제18-2),없음,,
Q003,릴레이션에서 X， Y， Z라는 3 개의 속성이 있을 때 X→Y， Y→Z 이란 종속 관계가 ...,Transitive,(문제18-3),없음,images/2022_round2/3.png,
Q019,다음 설명에 대한 알맞는 답을 보기에서 고르시오. (실제 기출문제에서는 답의 보기가 주어집...,1. HTTP， 2. Hypertext， 3. HTML,(문제19는 소문제 1-3으로 분리됨),부족,,
Q001,인터넷에서， 웹 서버와 사용자의 인터넷 브라우저 사이에 문서를 전송하기 위해 사용되는 통신...,HTTP,(문제19-1),없음,,
Q002,문자， 그래픽， 음성 및 영상을 하나의 연상 거미집(Web of Association)과 ...,Hypertext,(문제19-2),없음,,
Q003,웹 페이지 표시를 위해 개발된 지배적인 마크업 언어다. 또한， 제목， 단락， 목록 등과 같...,HTML,(문제19-3),없음,images/2022_round2/3.png,
Q020,다음 모듈 F에 대한 Fan-in과 Fan-out을 작성하시오.,Fan-in : 3， Fan-out : 2,,없음,images/2022_round2/20.png,
